Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,10.8,10.8,26.3,26.3,26.3,26.3,22.1,22.1,21.7,21.7,20.8,20.8,20.8,22.9,24.6,20.0,20.4,20.4,23.8,23.8,25.8,26.7
Bahrain,,,,,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,10.0,10.0,10.0,7.5,7.5,7.5,7.5,15.0,15.0,15.0
"Bahamas, The",15.0,15.0,15.0,,20.0,20.0,20.0,20.0,12.2,12.2,12.2,12.2,12.2,13.2,13.2,13.2,13.2,13.2,12.8,12.8,12.8,12.8
Bosnia and Herzegovina,,,7.1,,16.7,16.7,16.7,14.3,11.9,11.9,19.0,16.7,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,26.2
Belarus,,,10.3,10.3,10.3,29.4,29.1,29.1,29.1,31.8,31.8,31.8,31.8,26.6,26.6,26.6,27.3,34.5,34.5,34.5,40.0,40.0
Belize,6.9,6.9,6.9,6.9,3.3,6.7,6.7,6.7,3.3,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,3.1,9.4,9.4,9.4,9.7
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bolivia,11.5,11.5,11.5,18.5,18.5,19.2,16.9,16.9,16.9,16.9,22.3,25.4,25.4,25.4,25.4,53.1,53.1,53.1,53.1,53.1,53.1,46.2
Brazil,5.7,5.7,6.8,6.2,8.6,8.6,8.6,8.8,9.0,9.0,8.8,8.6,8.6,8.6,8.6,9.9,9.9,9.9,10.7,15.0,15.0,14.6
Barbados,10.7,10.7,10.7,10.7,13.3,13.3,13.3,13.3,13.3,10.0,10.0,10.0,10.0,10.0,16.7,16.7,16.7,16.7,16.7,20.0,20.0,20.0
Brunei Darussalam,,,,,,,,,,,,,,,,,,6.5,9.1,9.1,9.1,9.1
Bhutan,2.0,9.3,9.3,9.3,9.3,9.2,9.3,2.7,2.7,8.5,8.5,8.5,8.5,8.5,6.4,8.5,8.5,8.5,8.5,14.9,14.9,14.9
Botswana,,17.0,17.0,17.0,17.0,11.1,11.1,11.1,11.1,11.1,7.9,7.9,7.9,7.9,7.9,9.5,9.5,9.5,9.5,9.5,10.8,10.8
Central African Republic,7.3,7.3,7.3,7.3,,,10.5,10.5,10.5,10.5,9.6,9.6,12.5,12.5,,,,7.2,8.6,8.6,8.6,8.6
Canada,20.6,,20.6,20.6,20.6,21.1,21.1,20.8,21.3,22.1,22.1,22.1,24.8,24.7,24.7,25.1,26.0,26.0,26.3,26.9,29.0,29.0
Central Europe and the Baltics,11.5,13.0,15.6,16.1,16.3,17.1,16.7,17.1,16.8,16.8,17.1,17.0,18.4,19.3,19.2,19.7,20.1,19.9,22.3,22.7,23.7,25.0
Switzerland,22.5,23.0,23.0,23.0,25.0,25.0,25.0,25.0,28.5,28.5,29.0,29.0,28.5,29.0,31.0,31.0,32.0,32.0,32.5,32.5,41.5,41.5
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,10.8,10.8,10.8,12.5,12.5,12.5,15.0,15.0,15.0,15.0,14.2,14.2,14.2,14.2,15.8,15.8,15.8,15.8,,22.6,22.6,22.6
China,21.8,21.8,21.8,21.8,20.2,20.2,20.3,20.3,20.6,21.3,21.3,21.3,21.3,21.3,23.4,23.4,23.6,23.6,24.2,24.9,24.9,24.9
Cote d'Ivoire,8.0,,8.5,8.5,8.5,8.5,8.5,8.5,8.9,8.9,8.9,8.9,11.0,10.4,10.4,9.4,9.2,9.2,10.6,10.6,11.0,11.4
Cameroon,5.6,5.6,5.6,8.9,8.9,8.9,8.9,8.9,13.9,13.9,13.9,13.9,13.9,13.9,31.1,31.1,31.1,31.1,31.1,31.1,31.1,33.9
"Congo, Dem. Rep.",,,,,,12.0,12.0,8.4,8.4,8.4,8.4,8.4,,8.9,8.9,10.6,8.9,8.9,8.9,8.9,10.0,12.8
"Congo, Rep.",12.0,12.0,12.0,,8.5,8.5,8.5,8.5,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.4,11.3,11.3,11.3,11.3
Colombia,11.8,11.8,11.8,12.0,12.0,12.0,12.1,8.4,8.4,8.4,8.4,12.7,12.1,12.1,12.1,19.9,19.9,19.9,18.7,18.1,18.7,18.3
Comoros,,,,,,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.1,6.1,6.1,16.7
Cabo Verde,11.1,11.1,11.1,11.1,11.1,11.1,11.1,15.3,18.1,18.1,18.1,18.1,20.8,20.8,20.8,20.8,20.8,23.6,23.6,23.6,23.6,25.0
Costa Rica,19.3,19.3,19.3,35.1,35.1,35.1,35.1,38.6,36.8,36.8,36.8,38.6,38.6,38.6,38.6,33.3,33.3,33.3,35.1,45.6,45.6,45.6
Caribbean small states,12.9,13.2,14.6,,15.9,17.8,17.8,17.2,18.1,17.5,17.4,15.2,15.8,16.2,17.1,17.2,19.7,20.4,21.3,21.9,22.6,25.5
Cuba,27.6,27.6,27.6,27.6,36.0,36.0,36.0,36.0,36.0,43.2,43.2,43.2,45.2,45.2,48.9,48.9,48.9,48.9,48.9,53.2,53.2,53.2
Curacao,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
Cyprus,5.4,7.1,10.7,10.7,10.7,16.1,16.1,14.3,14.3,14.3,12.5,12.5,10.7,10.7,10.7,12.5,12.5,17.9,17.9,17.9,17.9,19.6
Czech Republic,15.0,15.0,15.0,17.0,17.0,17.0,17.0,15.5,15.5,15.5,15.5,22.0,22.0,22.0,19.5,19.5,20.0,20.0,22.0,22.0,22.5,22.5
Germany,30.9,30.9,31.1,32.2,32.2,32.8,31.8,31.6,31.6,32.2,32.8,32.8,32.9,32.9,36.5,36.5,36.5,36.5,30.7,30.7,30.9,31.2
Djibouti,0.0,0.0,0.0,0.0,10.8,10.8,10.8,10.8,13.8,13.8,13.8,13.8,13.8,13.8,12.7,12.7,12.7,12.7,10.8,26.2,26.2,26.2
Dominica,9.4,,18.8,18.8,18.8,19.4,12.9,12.9,16.1,18.8,14.3,12.5,12.5,12.5,12.5,12.9,21.9,21.9,25.0,25.0,25.0,34.4
Denmark,37.4,37.4,,38.0,38.0,38.0,36.9,36.9,38.0,38.0,38.0,38.0,39.1,39.1,39.1,39.1,37.4,37.4,37.4,37.4,39.1,39.7
Dominican Republic,16.1,16.1,16.1,17.3,17.3,17.3,17.3,19.7,19.7,19.7,19.7,20.8,20.8,20.8,20.8,20.8,20.8,26.8,26.8,26.8,26.8,27.9
Algeria,3.2,3.4,3.4,6.2,6.2,6.2,6.2,6.2,7.7,7.7,7.7,7.7,8.0,31.6,31.6,31.6,31.6,31.6,25.8,25.8,25.8,25.8
East Asia & Pacific (excluding high income),18.6,17.3,17.6,18.2,16.9,17.2,17.3,17.7,18.0,18.3,18.6,17.9,17.9,18.2,19.3,19.1,19.8,19.9,20.1,20.6,20.9,21.5
Early-demographic dividend,8.8,9.7,9.5,11.1,11.3,12.1,12.9,13.4,14.7,15.5,17.0,17.4,17.6,19.3,20.1,21.1,22.2,22.3,22.3,22.8,22.9,24.5
East Asia & Pacific,16.8,16.4,16.6,17.2,16.1,16.6,16.9,17.3,17.8,18.0,18.3,17.8,17.7,17.9,18.8,18.6,19.3,19.4,19.8,20.2,20.5,21.3
Europe & Central Asia (excluding high income),,7.3,9.1,11.0,9.4,10.9,10.8,11.5,13.9,14.2,15.0,15.1,15.8,17.4,17.6,18.0,18.0,18.5,20.4,20.8,22.6,23.6
Europe & Central Asia,16.1,16.6,16.5,18.3,17.8,18.8,19.2,19.5,21.0,21.3,21.9,22.0,22.7,23.8,24.8,25.3,25.7,26.0,27.4,28.0,29.5,30.3
Ecuador,17.4,14.6,14.6,,16.0,16.0,16.0,25.0,25.0,25.0,32.3,32.3,32.3,32.3,38.7,41.6,41.6,41.6,38.0,38.0,38.0,39.4
"Egypt, Arab Rep.",2.0,2.0,2.4,2.4,2.4,2.9,2.0,2.0,1.8,1.8,1.8,12.7,2.0,2.0,,,,14.9,14.9,14.9,14.9,27.4
Euro area,18.3,19.3,19.1,19.1,20.7,21.7,22.2,23.0,24.7,25.0,25.5,25.3,26.0,27.4,30.0,30.1,30.2,30.3,31.2,32.0,33.4,33.9
Eritrea,14.7,14.7,14.7,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,
Spain,21.6,28.3,28.3,28.3,28.3,36.0,36.0,36.0,36.6,36.3,36.6,36.6,36.0,36.0,36.0,39.7,41.1,39.1,39.1,39.1,44.0,44.0
Estonia,17.8,17.8,17.8,17.8,18.8,18.8,18.8,18.8,20.8,20.8,22.8,22.8,19.8,20.8,20.8,19.0,23.8,23.8,26.7,26.7,29.7,28.7
Ethiopia,2.0,7.7,7.7,7.7,7.7,7.7,21.4,21.9,21.9,21.9,21.9,27.8,27.8,27.8,27.8,27.8,38.8,38.8,38.8,38.8,38.8,38.8
European Union,18.0,19.6,19.6,20.3,21.4,22.1,22.2,22.9,23.9,24.2,24.5,24.4,25.1,26.0,27.7,28.2,28.3,28.3,29.8,30.5,31.8,32.4
Fragile and conflict affected situations,,,8.3,9.6,9.6,10.3,12.4,13.4,13.7,13.7,13.5,14.3,15.6,16.1,17.4,16.4,19.1,18.9,19.4,19.2,19.0,20.6
Finland,37.0,36.5,36.5,36.5,37.5,37.5,37.5,38.0,41.5,41.5,40.0,40.0,42.5,42.5,42.5,42.5,41.5,41.5,42.0,42.0,47.0,46.0
Fiji,11.3,,5.7,5.7,5.7,8.5,8.5,,,,,,,,,14.0,16.0,16.0,16.0,19.6,19.6,19.6
France,10.9,10.9,10.9,12.1,12.2,12.2,12.2,12.2,18.2,18.2,18.9,18.9,18.9,26.9,26.9,26.2,26.2,26.2,39.0,39.6,39.7,39.5
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,8.3,9.2,9.2,9.2,9.2,9.2,9.2,12.5,16.7,16.7,14.7,14.7,14.2,15.8,15.8,15.0,14.2,14.2,17.1,,17.9,14.8
United Kingdom,18.4,18.4,17.9,17.9,17.9,18.1,19.7,19.7,19.5,19.5,19.5,22.0,22.3,22.5,22.5,22.6,29.4,29.6,32.0,32.2,32.0,33.8
Georgia,,7.2,7.2,7.2,7.2,9.4,9.4,9.4,9.4,6.0,5.1,6.5,6.6,12.0,12.0,12.0,11.3,16.0,16.0,16.0,14.8,20.7
Ghana,9.0,,9.0,9.0,9.0,10.9,10.9,10.9,10.9,7.9,8.3,8.3,8.3,,10.9,10.9,10.9,10.9,12.7,12.7,13.1,13.1
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Guinea,8.8,8.8,8.8,,19.3,19.3,19.3,19.3,19.3,,,,,,,21.9,21.9,21.9,21.9,21.9,22.8,16.7
"Gambia, The",2.0,2.0,2.0,5.7,13.2,13.2,13.2,13.2,9.4,9.4,7.5,7.5,7.5,7.5,7.5,9.4,9.4,9.4,10.3,10.3,10.3,8.6
Guinea-Bissau,,7.8,7.8,7.8,,14.0,14.0,14.0,14.0,10.0,10.0,10.0,10.0,14.0,14.0,13.7,13.7,13.7,13.7,13.7,13.7,13.7
Equatorial Guinea,5.0,5.0,5.0,5.0,5.0,18.0,18.0,18.0,18.0,6.0,10.0,10.0,10.0,10.0,12.1,24.0,24.0,24.0,,20.0,21.0,21.0
Greece,6.3,8.7,8.7,8.7,8.7,14.0,13.0,13.0,14.7,14.7,17.3,17.3,18.7,21.0,21.0,21.0,19.7,19.7,18.3,18.7,20.7,21.7
Grenada,,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,13.3,13.3,13.3,13.3,13.3,33.3,33.3,33.3,33.3,33.3,46.7,46.7,46.7
Greenland,,,,,,,,,,,,,,,,,,,,,,
Guatemala,7.1,8.8,8.8,8.8,8.2,8.2,8.2,8.2,12.0,12.0,12.0,12.0,13.3,13.3,13.3,13.3,13.9,13.9,12.7,12.7,19.4,19.4
Guam,,,,,,,,,,,,,,,,,,,,,,
Guyana,18.5,18.5,18.5,20.0,20.0,30.8,30.8,29.0,29.0,30.0,30.0,30.0,31.3,31.3,31.3,31.3,30.4,30.4,31.9,31.9,31.9,35.7
High income,17.3,,18.2,18.9,19.4,19.8,20.4,20.9,21.8,22.0,22.6,22.7,23.3,23.8,25.3,25.8,26.4,26.5,27.5,28.2,29.3,30.3
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,
Honduras,9.4,9.4,9.4,5.5,5.5,5.5,23.4,23.4,23.4,23.4,18.0,18.0,19.5,19.5,,25.8,25.8,25.8,,21.1,21.1,21.1
Heavily indebted poor countries (HIPC),9.1,,11.9,13.5,13.5,14.1,16.9,17.1,17.6,17.6,17.7,18.3,20.4,21.5,22.1,22.2,23.8,24.0,24.3,24.1,24.1,25.2
Croatia,7.9,20.5,20.5,20.5,,21.7,21.7,21.7,20.9,20.9,23.5,23.5,23.8,23.8,23.8,23.8,15.2,12.6,18.5,18.5,20.5,31.1
Haiti,3.6,,3.6,3.6,3.6,3.6,3.6,2.0,4.1,4.1,4.1,11.1,4.2,4.2,4.2,4.2,4.2,0.0,2.5,2.5,2.5,
Hungary,8.3,8.3,8.3,9.1,9.8,9.1,9.1,10.4,11.1,11.1,11.1,9.1,8.8,8.8,8.8,10.1,10.1,10.1,10.1,12.6,12.6,12.1
IBRD only,12.6,12.7,13.1,14.5,14.0,14.9,14.5,15.2,15.9,16.4,17.3,17.6,18.0,19.3,20.4,21.0,21.3,21.8,22.3,23.0,23.5,24.3
IDA & IBRD total,11.0,11.4,12.0,13.3,13.0,13.8,14.5,15.0,15.9,16.5,17.2,17.4,18.2,19.3,20.0,20.4,21.1,21.5,21.9,22.2,22.5,23.5
IDA total,,,,11.1,11.5,12.1,14.6,14.7,15.9,16.7,17.2,17.1,18.5,19.3,19.4,19.6,20.9,21.0,21.3,21.1,21.0,22.3
IDA blend,,,,10.6,10.7,11.6,12.2,12.4,13.1,13.6,13.9,13.8,14.1,14.4,18.9,18.9,18.6,18.6,19.0,19.1,18.9,21.1
Indonesia,,8.0,8.0,8.0,8.0,11.3,11.3,11.3,11.6,11.6,17.9,18.0,18.2,18.6,18.6,16.9,17.1,17.1,19.8,19.8,17.4,20.3
IDA only,8.0,9.6,,11.3,11.7,12.2,15.1,15.3,16.5,17.4,17.9,17.8,19.4,20.3,19.5,19.7,21.4,21.6,21.8,21.5,21.5,22.6
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
India,8.4,9.0,8.8,8.8,8.8,8.3,8.3,8.3,9.1,9.1,10.8,10.8,11.0,11.0,11.0,11.4,12.0,12.0,11.8,11.8,14.4,14.4
Not classified,,,,,,,,,,,,,,,,,,,,,,
Ireland,12.0,12.0,12.0,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.9,13.9,15.1,15.1,15.7,15.7,16.3,22.2,22.2,22.2,22.2,22.5
"Iran, Islamic Rep.",4.9,3.4,3.4,4.1,4.1,4.1,4.1,4.1,4.1,2.8,2.8,2.8,2.8,3.1,3.1,3.1,3.1,5.9,5.9,5.9,5.9,5.6
Iraq,6.4,7.6,7.6,7.6,,,,25.5,25.5,25.5,25.5,25.2,25.2,25.2,25.2,25.3,26.5,26.5,25.3,25.2,25.2,26.4
Iceland,34.9,34.9,34.9,34.9,30.2,30.2,33.3,33.3,33.3,33.3,42.9,42.9,39.7,39.7,39.7,39.7,41.3,47.6,38.1,38.1,38.1,38.1
Israel,11.7,12.5,13.3,14.2,15.0,15.0,15.0,14.2,14.2,14.2,18.3,19.2,20.0,20.0,22.5,22.5,26.7,26.7,27.5,27.5,23.3,27.5
Italy,11.1,11.1,9.8,9.8,11.5,11.5,11.5,17.3,17.3,21.3,21.3,21.3,21.6,21.4,31.4,31.4,31.0,31.0,31.0,35.7,35.7,35.7
Jamaica,13.3,13.3,13.3,,11.7,11.7,11.7,11.7,13.3,13.3,13.3,13.3,12.7,12.7,12.7,12.7,12.7,17.5,17.5,17.5,17.5,28.6
Jordan,0.0,0.0,1.3,1.3,5.5,5.5,5.5,5.5,6.4,6.4,6.4,10.8,10.8,10.8,12.2,12.0,12.0,15.4,15.4,15.4,15.4,11.5
Japan,4.6,7.3,7.3,7.3,7.1,7.1,9.0,9.4,9.4,9.4,11.3,11.3,10.8,7.9,8.1,8.1,9.5,9.5,10.1,10.1,10.1,9.9
Kazakhstan,10.8,10.4,10.4,10.4,10.4,10.4,10.4,10.4,15.9,15.9,17.8,17.8,17.8,24.3,24.3,25.2,26.2,27.1,27.1,27.1,27.1,27.1
Kenya,3.6,3.6,3.6,3.6,7.1,7.1,7.1,7.3,7.2,9.8,9.8,9.8,9.8,9.8,18.6,19.1,19.7,19.7,21.8,21.8,21.8,21.8
Kyrgyz Republic,1.4,2.3,10.0,10.0,10.0,10.0,0.0,0.0,25.6,25.6,25.6,23.3,23.3,23.3,23.3,23.3,19.2,19.2,19.2,19.2,19.2,16.5
Cambodia,8.2,7.4,7.4,7.4,9.8,9.8,9.8,9.8,19.5,16.3,21.1,21.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.0,20.0,20.0
Kiribati,4.9,4.9,4.8,4.8,,4.8,4.8,7.1,4.3,4.3,4.3,4.3,8.7,8.7,8.7,8.7,8.7,6.5,6.5,6.5,6.5,8.9
St. Kitts and Nevis,13.3,13.3,13.3,13.3,13.3,0.0,0.0,0.0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,13.3,13.3,13.3,13.3,13.3,25.0
"Korea, Rep.",3.7,5.9,5.9,5.9,5.9,13.0,13.4,13.4,14.4,13.7,14.7,14.7,14.7,15.7,15.7,16.3,16.3,17.0,17.0,17.0,16.7,19.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,3.1,7.7,7.7,7.7,6.2,6.2,1.5,1.5,2.0,3.1,3.1,4.6,6.3
Latin America & Caribbean (excluding high income),14.7,15.5,14.9,16.8,19.4,20.0,21.0,21.1,21.9,23.1,23.8,24.1,24.2,25.8,27.2,29.1,29.6,30.6,30.8,32.7,33.3,34.5
Lao PDR,21.2,21.2,21.2,22.9,22.9,22.9,22.9,25.2,25.2,25.2,25.2,25.2,25.0,25.0,25.0,25.0,25.0,27.5,27.5,27.5,27.5,27.5
Lebanon,2.3,2.3,2.3,2.3,2.3,2.3,4.7,4.7,4.7,4.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,4.7,4.7,4.7
Liberia,,7.8,7.8,7.8,7.8,5.3,12.5,12.5,12.5,12.5,12.5,12.5,9.6,11.0,11.0,11.0,11.0,11.0,9.9,12.3,12.3,12.3
Libya,,,,,,,4.7,7.7,7.7,7.7,7.7,7.7,,16.5,16.5,16.0,16.0,16.0,16.0,16.0,16.0,16.0
St. Lucia,11.1,11.1,,11.1,11.1,11.1,11.1,0.0,11.1,11.1,11.1,11.1,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
Latin America & Caribbean,14.3,15.2,14.4,16.1,18.5,19.0,20.2,20.3,21.1,22.2,22.7,23.0,23.0,24.5,25.8,27.5,27.9,28.8,29.7,31.2,31.7,32.8
Least developed countries: UN classification,8.2,9.9,,12.0,12.4,12.8,15.7,15.9,17.0,18.8,19.4,19.3,20.8,21.4,20.9,21.1,23.0,23.1,23.0,22.8,22.9,24.2
Low income,,12.2,12.5,13.7,13.0,14.5,16.6,17.0,17.2,17.2,16.8,17.8,19.4,19.7,20.2,19.5,21.6,21.9,22.1,21.9,22.0,22.5
Liechtenstein,4.0,4.0,12.0,12.0,12.0,12.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0
Sri Lanka,4.9,,,4.4,4.4,4.9,4.9,4.9,5.8,5.8,5.8,5.3,5.8,5.8,5.8,5.8,4.9,5.8,5.8,5.8,5.3,5.4
Lower middle income,8.4,8.1,8.9,10.4,10.3,10.8,11.9,12.1,13.3,14.7,15.9,15.7,16.1,17.8,18.4,19.8,20.0,20.2,20.1,19.9,20.0,21.8
Low & middle income,11.8,12.0,12.4,13.7,13.5,14.4,15.0,15.5,16.4,17.1,17.7,17.9,18.6,19.7,20.5,20.9,21.6,22.0,22.2,22.7,23.0,23.9
Lesotho,3.8,3.8,3.8,,11.7,11.7,11.7,11.7,23.5,25.0,24.2,24.2,24.2,26.7,26.7,26.7,25.0,25.0,22.1,22.1,23.3,23.3
Late-demographic dividend,14.7,14.8,15.1,15.7,15.1,15.8,16.0,16.0,16.7,17.1,17.2,17.3,17.7,18.3,18.9,19.1,19.4,19.9,20.7,21.5,22.0,22.2
Lithuania,17.5,10.6,10.6,10.6,10.6,22.0,22.0,24.8,22.7,17.7,19.1,19.1,19.1,24.5,24.1,24.1,23.4,21.3,21.3,21.3,21.3,27.0
Luxembourg,16.7,16.7,16.7,16.7,16.7,23.3,23.3,23.3,23.3,23.3,20.0,20.0,25.0,21.7,28.3,28.3,28.3,28.3,28.3,20.0,25.0,30.0
Latvia,17.0,17.0,17.0,18.0,21.0,21.0,21.0,19.0,20.0,20.0,22.0,20.0,23.0,23.0,23.0,18.0,18.0,18.0,16.0,31.0,30.0,30.0
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,
Morocco,0.6,0.6,0.6,10.8,10.8,10.8,10.8,10.8,10.5,10.5,10.5,10.5,17.0,17.0,17.0,17.0,17.0,20.5,20.5,20.5,20.5,20.5
Monaco,22.2,22.2,22.2,22.2,20.8,20.8,20.8,20.8,20.8,25.0,26.1,26.1,19.0,19.0,20.8,20.8,20.8,20.8,20.8,33.3,33.3,33.3
Moldova,8.9,7.9,12.9,12.9,12.9,15.8,21.8,21.8,21.8,21.8,23.8,18.8,19.8,19.8,19.8,17.8,21.8,21.8,22.8,22.8,25.7,24.8
Madagascar,8.0,8.0,8.0,,3.8,6.9,6.9,6.9,7.9,7.9,,12.5,12.5,17.5,17.5,20.5,20.5,20.5,19.2,19.2,15.9,17.9
Maldives,,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,6.5,6.5,6.5,6.5,6.5,5.9,5.9,5.9,5.9,5.9,4.6,4.6
Middle East & North Africa,4.2,4.2,4.3,5.9,5.9,6.6,6.2,8.1,8.4,8.3,8.8,10.4,10.1,13.1,15.9,16.1,16.4,17.1,16.3,16.7,16.4,18.3
Mexico,18.2,16.0,16.0,16.0,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8,36.8,37.4,42.4,42.4,42.6,48.2,48.2,48.2
Marshall Islands,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.1,9.1,9.1,9.1,6.1,6.1
Middle income,12.1,12.0,12.4,13.7,13.6,14.4,14.5,15.1,16.2,17.1,18.0,17.9,18.4,19.7,20.6,21.3,21.6,22.0,22.3,22.9,23.3,24.3
North Macedonia,7.5,6.7,6.7,17.5,18.3,19.2,19.2,28.3,29.2,31.7,32.5,32.5,30.9,32.5,34.1,33.3,33.3,33.3,37.5,38.3,39.2,39.2
Mali,12.2,12.2,12.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,,9.5,8.8,8.8,8.8,8.8,9.5,27.9
Malta,9.2,9.2,9.2,9.2,7.7,9.2,9.2,9.2,9.2,8.7,8.7,8.7,8.7,8.7,14.3,14.3,12.9,12.9,11.9,11.9,14.9,13.4
Myanmar,,,,,,,,,,,,4.3,3.5,6.0,6.0,5.6,12.7,9.9,10.2,10.2,11.3,16.8
